,0
22,"며칠뒤. 제국의 꽃이라 불리는 에스티론 백작가의 외동딸, 루블라일 리브 에스티론이 공작 저에 숨어들어갔다 '또' 병실 신세가 되었다는 소문이 제국 내에 퍼졌다."
23,0. 사람이.. 덕질 좀 할 수도 있지..
24,
25,""" 흐크흡, 흡... """
26,"루블라일은 붕대 투성이인 몸에도 아랑곳 않고, 이불을 세게 끌어안으며 뚝뚝 눈물을 흘렸다. 촉촉히 젖은 눈동자와, 파르르 떨리는 하얀 속눈썹이 어찌나 애처롭던지. 그를 간호하고 있던 시녀들과 시종들은 저절로 먹먹해지는 가슴을 부여잡았다. 제 주인이 미쳤다는 건 뼈저리게 알고 있긴 하다만, 그래도 저 얼굴로 저렇게 애처롭게 울면 괜히 주인이 불쌍해진다. 시녀, 에스나는 걱정스러운 눈빛으로 제 주인을 바라보며 물었다."
27,""" 아가씨.. 속상하신건 알지만 그 몸으로 그렇게 세게 끌어안으심 상처가 덧나요... """
28,""" 흑, 그치만, """
29,그렇게 차갑게 날 내치는 공작님이 얼마나 멋있는데.. ! 너무 감격스럽단 말야... !
30,"울먹거리면서 뒷붙여진 말에, 시녀들과 시종들의 얼굴이 급속도로 썩어갔다. 그리고 제 주인이 혹시 그 유명한 피가학적 변태, 흔히 마조히스트라 불리는 사람인지 심각하게 고민하며 슬금슬금 그녀의 방을 나갔다. 탁. 문이 닫히는 소리와 함께, 이내 방 안에는 루블라일 그녀만이 혼자 남았다."
31,""" 다들 왜 공작님의 멋짐을 모르는 걸까? 하아.. 공작님이 3D라니... 대학 붙은거 다녀보지도 못한건 좀 아쉽지만, 실물 공작님을 볼 수 있다면 그게 뭐 대수인가. """
32,"루블라일은 제 하얀 볼을 발갛게 물들이며 중얼거렸다. 그래, 그녀의 말이 뭔가 이상하다 느꼈으면 정답이다. 그녀는 원래, 대한민국의 유명한 S대에 다니게 되었을, 신은하라는 예비 대학생이었다. 그전에 판타지 로맨스 소설[붉은 색으로]의 덕후였다. 아니, 더 정확히 말하면 [붉은 색으로]의 서브 남주, 레쉬블 프라이티아 펙티르 공작의 미친 덕후였다. 소설, [붉은 색으로]는 꽤 많은 2차 창작물들을 생성하는 덕, 아니 팬층이 형성되어있던 인기 많은 소설이다. 하도 인기가 치솟아서, 여주 뒤치닥거리만 잔뜩하다 결국 제 손으로 메인남주와 짝사랑하는 여주를 이어준 불쌍한 서브 남주, 펙티르 공작의 외전이 애니메이션화가 된 적이 있었다. 짝사랑하는 여주를 제 손으로 직접 다른 남자와 이어줄 때의 공작의 심정이랑, 그 후 여주를 잊기 위해 일만 하는 기계처럼 살아가는, 그런 내용이었다."
33,우연한 기회에 그 짧고도 짧았던 애니메이션을 봤던 은하는.
34,""" ㅡ커헉, """
35,치였다. 그것도 아주 세게.
36,"소설에서 그 외전을 봤을 땐, 펙티르 공작이라는 소형차가 가볍게 스치고 지나간 느낌이었다면."
37,부웅ㅡ쾅!쿠앜쿵쾈쾅쿵쾅!
38,"애니메이션의 펙티르 공작은, 트럭 10대로 치다 못해 그녀를 즈려밟고 지나갔다. 소설 특유의 그 절절한 감정을 어찌나 그리 잘 표현했던지. 그날 은하는 공작에게 풍덩 빠졌다. 그리고 덕질을 시작했다."
39,"마치 덕질을 위해, 덕질만을 하기 위해, 덕질 아님 다 필요없는 삶을 위해 태어난 사람처럼."
40,주위에서는 그런 그녀를 이렇게 표현하곤 했다.
41,' 맙소사.... '
42,그래. 그 모습은 보는 사람마다 탄식을 내뱉을 정도로 끔찍했다.
43,"무슨 그가 없으면 삶을 잊어버린 사람처럼, 그의 모든 행동은 펙티르 공작으로 인해 시작된 것처럼."
44,"그렇게 그가 온리 펙티르 알러뷰 삶을 살고 있었을 때, 사건은 터졌다."
45,소설 [붉은 색으로]의 두번째 외전이 출간된 것!
46,심지어 두번째 외전도 펙티르 공작의 외전이란 것!
47,"펙티르 빠순이 은하는, 그 두번째 외전에 자신의 지갑을 바쳤다. 테잌 마이 머니! 은하는 기쁨에 울부짖으며 책을 손에 넣었다. 그리고 은하는 쓰러졌다. 왜? 표지의 공작이 너무 잘생겨서. 그거 가지고 왜 쓰러지냐고? 그는 진정한 진성(공작 한정) 오타쿠니까. 그녀는 폭행당한 자신의 심장을 부여잡으며, 한글자 한글자 소중히 눈에 담았다."
48,그리고 그날 책을 찢어버렸다.
49,"아, 물론 표지 빼고."
50,그렇게 소중한 책을 왜 찢었냐 묻는다면.
51,""" 공작이 주거써!!!!!!!!! 공, 크흑, 작님이.. ! 죽었.. 죽.. 죽.... 아냐! 안죽었어! 아냐, 아냐 시발! 작가 새끼야 아니지? 아니지!? 그래 아닐거야. 아냐. 우리 공작님이 왜 죽어. 하하 다 조까쇼! """
52,"그렇다. 레쉬블 프라이티아 펙티르 공작은, 여주를 잊지 못하고 끈임없이 괴로워하다 결국 자살했다. 아니 시발 작가양반.. ! 이거 구라지요? 진짜 구라지요? 최애캐가 고인캐라니! 심지어 자살이라니! 그녀는 찢어진 종잇조각들을 붙잡고 그렇게 오열했다. 며칠 밤낮을 새며 끈임없이 울기만 하던 그녀는, 어느날 실이 끊긴 인형마냥 픽 쓰러졌는데."
53,""" 얽? """
54,"눈을 떠보니 소설 [붉은 색으로]의 속, 제국의 꽃이라 불리우는 에스티론 백작가의 외동딸이자 메인남주 황제를 짝사랑하던 루블라일 리브 에스티론의 몸속에 빙의했습니다. 띠용...."
55,"여튼 각설하고, 가족은 딱히 없어 전생에 미련이 딱히 없던 그로서는, 행운 중에 행운이었다. 심지어 공작이 죽지 않은, 두번째 외전의 전쯤에 빙의를 했다. 2D 최애캐가 내 눈앞에서 살아움직여요.. ! 감격, 희열, 환희. 공작이 죽지 않고, 제 앞에 온전히 살아있단 것에 온갖 감정에 휩싸인 그는,"
56,""" ㅡ아가씨. 펙티르 공작님께서 오셨습니다. """
57,""" 헐 미친! 들어오라고 해! """
58,바닥에 떨어진 머리카락 주워놓고! 우리 백작가 전속 화가도 불러서 그림도 그려놓음 더 좋고!
59,진성 오타쿠에서 진성 스토커로 업그레이드 했다.
60,"문 안에서 들린 당당한 스토커 발언에, 공작은 얼굴을 굳혔다. 에스티론 백작 가의 상단과 밀접한 관련이 있지 않았다면, 병문안이고 나발이고 저 미친 여자부터 썰어버렸을텐데. 새삼 공작은 울고 싶어졌다."
61,^^^
62,0. 사람이.. 덕질 좀 할 수도 있지..
63,
64,""" ... """
65,""" ... 에스티론 영애, 전에는 결례가 많았습니다. """
66,"이불을 뒤집어쓴 채, 제 초록빛 눈동자만 내놓고 눈만 깜빡거리고 있는 그의 행태에 공작은 구겨질려는 얼굴을 간신히 피며 그에게 넌지시 사과를 던졌다. 그리고는 그의 얼굴을 샅샅이 훑어보았다. 길고 풍성한 속눈썹 아래 싱그러운 잎사귀마냥 맑은 녹빛의 눈동자, 은은한 진줏빛 피부. 또 그 살결을 부드럽게 감싸안은 새하얀 머리카락. 공작은 눈 같이 하얀 머리카락을 보자마자 아. 하고 짧은 소리를 토해냈다."
67,ㅡ나중에 늙어서 흰머리 생겼다고 찡찡 거릴 일은 없겠군.
68,"비록 대부분이 이불로 인해 가려져있지만, 그래도 제국의 꽃이라 불려지고 있는 여자를 향해 진성 고자 같은 감상평을 내놓은 공작은, 여전히 이불을 뒤집어 쓴 채 눈만 데록데록 굴리는 루블라일을 보며 얼굴을 구겼다. 아니, 이 여자는 예의란 걸 정말 하나도 모르는 건가. 사람이 말을 하면 돌아오는 답이 있어야지. 저 행동은 대체 뭐란 말인가. 이렇게 병문안을 올 때마다 저 여자가 자신에게 말을 하는걸 단 한번도 보지 못했다. 그런 루블라일의 행동들에 공작은 기가 막혔다. 다행히 코는 안막혔다고 한다."
69,"자신의 저택에 뻔뻔하게 침입할 때는, 예의 그 하악.. 이라던지 결혼... 이라던지 잘만 짓걸이던 입이 어째서 자신이 앞에 있음 이렇게 쉽게 다물어지는지. 공작은 쯧, 하고 가볍게 혀를 찼다. 그 소리에 루블라일의 몸이 흠칫 떨렸다."
70,한편 루블라일은 제 딴에는 정말 미칠 것 같았다.
71,"원래 어둠 쪽에서 스토킹.. 이 아니라 덕질을 하는 (사실 스토킹이지만) 사람은 뒷공작만큼은 누구보다도 뛰어나게 잘할 자신이 있지만, 스토킹의 대상, 아니 덕질의 대상이 눈 앞에 떡 있으면 정작 아무말도 못하는게 스토커.. 아니 덕후다. 거야 당연히, 최소한의 양심이 있는 이상 자신이 뒤에서 뭔 짓을 하는지 자각을 하고 약간의 쪽팔림을 느낀다. 그런데 앞에서 당당히 뭘 말할 수 있을리가. 이미 실존해 있는 사람을 스토킹.. 이 아니라 덕질을 하는 시점에서 뭔 양심이 있나 물을 수도 있지만 원래 덕질의 세계는 심오한 거다. 정말 쪽팔려 하는 부분에서 뻔뻔해야 할 때도 있는 거고, 아님 전혀 엉뚱한 부분에서 부끄럼 탈 때도 있는 거고."
72,""" ... """
73,"물론 자신이야 공작하고 미친듯이 대화하는게 꿈이긴 하지만, 이렇게 소소하게(?) 덕질을 하며 그의 말만 듣는 것만으로도 만족한달까. 이미 예의를 차려야한다는 생각은 저 구석에 처박아뒀다. 덕질이 사람의 생각을 멈추게 한다. 공작의 구겨진 얼굴을 본 루블라일은 이불 속에서 거친 숨을 몰아쉬었다. 하악! 학! 공작님의 구겨진 얼굴 너무 잘생겼어.."
74,""" 이런 미.. """
75,친.
76,"이불 속에서 거친 숨을 몰아쉬는 루블라일에, 공작은 튀어나오려던 욕설을 간신히 멈췄다. 여태까지의 경험으로 보아, 저 미친 여자는 또 저를 가지고 음험한 생각을 하는게 틀림없었다. 공작은 그 사실을 깨닫자마자 예의고 나발이고 자리에서 벌떡 일어났다. 저 변태한테서 어서 벗어나야한다. 그래도 어렸을 때부터 뼈저리게 박혀있는 예절 교육에, 공작은 그녀에게 가볍게 목례하며 도망칠려는 와중에도 최소한의 예의는 갖추고 그녀의 방을 나섰다."
77,""" .. 허억! """
78,"시종, 시녀 구분없이 바닥에 납작 엎드려 무언갈 찾는듯 하다 자신이 벌컥, 하고 방문을 열며 나타나자 기겁하며 자신들의 손을 등 뒤로 감추기 급급한다. 공작은 제 괴물 같은 시력으로, 언뜻 그들의 손에 들려진 몇가닥의 검은 머리카락들을 보았다."
79,.. 나도 나지만 너네도 참 거지같이 산다...
80,"알아요, 저희도.."
81,"공작의 측은한 시선과 시종, 시녀들의 체념한 시선이 조용히 마주한다. 공작은 그들의 손에 들려진 제 머리카락을 찝찝하게 바라보았다가, 거친 숨을 몰아쉬던 루블라일이 생각 나 한시라도 바삐 이 곳을 벗어나야 한다는 생각에 걸음을 재촉했다."
82,*
83,""" ㅡ하아, """
84,"공작은 휴식 겸 처리하던 서류를 잠시 미뤄두고, 소파에 제 몸을 뉘였다. 서류 처리하랴, 그 여자가 언제 쳐들어올지 몰라 경계하랴. 그 외에도 일은 많지. 몸이 두개여도 모자랄 판이다. 이렇게 쉬면서도 그 미친 여자가 언제 올지 몰라 경계하고 있어야한다니. 제 꼴 참 우습게 되었다."
85,"루블라일에 대한 공작의 평은 굉장히 안좋은 편이다. 차라리 지나가던 똥개의 평이 훨씬 좋을정도로, 그녀에 대한 그의 감정은 정말, 정말, 정말 좋지 않다. 거기에는 몇가지 이유가 있는데, 우선은 다들 알다시피 그녀의 열렬한 공작 스토ㅋ.. ㅣ...ㅇ.. 덕질이 한 몫 하고 있고, 원래 그녀가 황제 테이거스 제이티그 엑시아를 짝사랑 하고 있다는 사실을 모르는 사람이 없을 정도로 루블라일은 황제 테이거스를 매우 사랑하고 있었다. 그 사랑에 눈이 멀어 황제의 연인이자 공작이 사모하는 여인, 하네르 리아를 그토록 괴롭혔다는 사실도, 모르는 사람이 없었다. 물론 황제가 그 사실을 안 이후 격노하여 약 한달 간 루블라일을 자택에 근신처분 시킨 이후로는 그런 일이 없었지만. 그랬던 그녀가, 한달 간의 근신이 끝나자마자 갑자기 저를 스토킹하며 손바닥 뒤집듯 태도를 바꾼 건 꽤 오래 전의 일이었다."
86,""" ... """
87,그는 그런 그녀를 의심하고 있다.
88,"그도 그럴 것이, 그토록 사랑했던 황제에 대한 미련도 없이 갑자기 저를 열렬히 쫓아다닌다? 말이 되지 않았다. 아마 황제와 친밀한 관계를 가지고 있는 저에게 무언가 뜯어낼 것이 있어서 그리 행동 하는 것이겠지. 스토킹에, 자신이 사모하는 여인을 괴롭혔고, 갑자기 바뀐 의심스러운 태도. 그가 그녀를 좋아할 이유는 어디에도 없었다."
89,""" ㅡ... """
90,"툭툭, 공작은 제 검지로 탁자를 두드리며 얼굴을 구겼다. 아직도 그 모습이 잊혀지지 않는다. 무릎은 찢어져서 상처가 나고, 온몸이 오물로 더럽혀져 서럽게 울음을 쏟아내던 하네르의 모습이."
91,"자신이 사모하는 여인을 울린 그녀를, 그가 좋아할 이유 따윈 어디에도 있지 않았다."
92,^^^
93,0. 사람이.. 덕질 좀 할 수도 있지..
94,
95,""" ㅡ뭐? 파티? """
96,"팥파라랕팥팥티? PARTY? 피 에이 알 티 와이? 레몬 소주, 난 테킬라, 넌 모히ㅌ.. 아니 이게 아니라. 파티라고?"
97,""" 네, 요번에 황제 폐하의 탄신일을 기념하는 파티요! 벌써 2주 뒤네요. 근데 아가씨. 몇달 전부터 폐하의 탄신일 파티, 기대하지 않으셨.. 아. 이제 공작님을... """
98,"펙티르 공작이 루블라일의 병문안을 왔었던 것도 벌써 한달이 지나고, 괴물 같은 회복력을 자랑하는 루블라일은 제가 모은(사실 시종시녀들이 땅바닥에 기어다니며 모은) 공작의 검은 머리카락들을 쓰다듬다, 제 시녀 에스나의 말에 기함을 토했다. 이런 뭬친. 파티라뇨. 난 춤은 1도 모르는데. 어어어쩌지. 어쩌지!"
99,""" 아가씨는 제국의 꽃이라는 호칭에 걸맞게 엄청난 춤실력을 갖고 있으니 작년 폐하의 탄신일 때처럼 아름다운 춤을 보여주시겠죠? """
100,""" .. ? 난데스까 개소리데스요? """
101,""" 네? """
102,ㅇ.. 아니. 말이 헛니왔어.
103,"루블라일은 소심하게 뒷말을 덧붙이고는, 제 시녀의 반짝이는 눈을 피해 방에서 벗어났다. 루, ㄹ, 루루블라일이 춤을 잘췄었나? 그랬었나? 미쳤다. 나는 춤추는 방법 같은거, 아예 모르는데! 미친. 제국의 꽃이 알려주는 새로운 춤이라고 확 짜라빠빠나 춰버려? 으아아아아! 루블라일은 제 결좋은 하얀 머리카락을 쥐어뜯을듯이 세게 쥐며 소리없는 비명을 질렀다. 아니 이런 여드름 같은! 그렇다고 파티를 쨀 수도 없잖아! 황제의 탄신일이라는데! 저번처럼 공작님의 저택에 쳐들어가서 또 2층에서 떨어지지 않는 이상.. 어? 잠깐, 2층에서 떨어져?"
104,황궁 파티 하루 전+평소처럼 공작님의 저택으로 가 공작님 스토.. 덕질+공작님의 귀여운 화난모습 Get+2층에서 떨어지던가 아님 공작님이 멋지게 공격함=다침=파티안감=개이득?
105,어? 진짜 개이득인데?
106,"그냥 평소처럼 멋진 공작님의 스ㅌ.. 아니, 덕질만 하면 파티에 못가는거 잖아? 다쳤다고 하면 되니까! 헐. 대박. 난 천잰가봐.. ! 루블라일은 제 천재성에 감격하여 입을 틀어막았다. 또 파티 하루 전날이면, 마지막 최종점검을 하기 위해 모든 귀족들이 파티날에 입을 옷들을 입어보니까.. 굳이 파티에 안가도 파티에 간 공작님을 볼 수 있단거잖아?"
107,미쳤나봐. 어쩜 이렇게 똑똑할 수 있지?
108,크윽.. ! 덕질 3년이면 풍월을 읊는다더니! (???) 좋아! 완벽해! 이제 모든 계획을 다 세웠다!
109,"루블라일은 하늘을 뚫고 날아갈 것만 같은 기분에 콧노래를 흥얼거렸다. 뭐, 저녁에 황제가 찾아온단 소식에 그 기분은 지하끝까지 추락했지만."
110,*
111,""" ????? 황제새ㄲ, 아니. 폐하가 여길 왜 오신데.. ? """
112,""" 그거야 저도 모르죠! 백작님과 백작 부인님은 상단 운영 덕에 베트론 영지에 계시니, 아가씨께서 저택 안에 혼자 계시는걸 아실텐데.. ! 아가씨한테 뭘 요구하실려고 오는거 아니에요? 헉. 세상에, 아가씨. 마음 단단히 먹으시고 응접실로... ! """
113,저기 너나 마음 단단히 먹는게 좋지 않을까..
114,"곧바로 쓰러질 사람마냥 패닉 상태에 빠진 에스나를 보며, 루블라일은 진정하라는듯 그녀의 등을 토닥였다. 그런 루블라일의 손길에, 에스나는 화들짝 놀라더니 잠시 루블라일을 보며 멍때리다, 이내 화병의 위치를 바꾸라는 시녀장의 호통에 그에게 인사를 하곤 황급히 걸음을 옮겼다."
115,""" 어라. """
116,"진정하라고 토닥여줬는데 왜 놀라지? 헉. 설마 내 손에 뭐 묻었나? .. 아닌데. 요상하네. 루블라일은 이해할 수 없는 에스나의 행동에 고개를 갸웃거리며 응접실로 천천히 걸음을 옮겼다. 한시간 뒤 방문하겠다는 황제의 편지에 집사, 시녀장, 시종시녀들 할 것없이 전부 바쁘게 뛰어댕기는데, 저 혼자만 느릿느릿 걷는 꼴이 퍽 웃겼다. 음. 황제가 올 때 예법이 뭐였더라. 저택의 대문 앞에선 집사와 시녀장이 세번 절하고, 저택의 주인은 응접실의 방문 앞에서 황제를 기다렸다가 황제가 시녀장의 안내를 받고 응접실에 도착하면 허리를 90도로 두번 숙이고 인사하는 거였나. 음, 하도 거지 같은 예법이여서 나도 모르게 외워버렸네. 예법에 대해 곱씹는 동안, 어느새 응접실의 방문 앞에 도착했다. 황제가 올 때까지 약 한시간 정도. 할짓도 없어 방문 옆의 벽에 조용히 기댔다."
117,"아니, 갑자기 왜 황제가 온담.. 공작님 컬렉션이나 볼려했더니. 머리도 묵직하고. 루블라일은 제 머리 위에 치장된 작은 다이아몬드들을 검지로 톡, 쳤다. 으. 이거 몇개만 떼면 안될려나. 너무 무거운데. 제법 위험한 생각을 하고 있던 그녀는, 결국 아무도 안보는 틈을 타 불편한 머리장식을 잠시 뺐다. 황제가 올 때 다시 끼면 되겠지. 그리 안일하게 생각하던 그는, 갑자기 저택 밖에서 들리는 우렁찬 소리에 손에 들고 있던 다이아몬드 범벅 머리장식을 놓칠 뻔했다."
118,""" 제국의 태양이 영원히 빛나길! """
119,"... ? 님, 한시간 뒤에 온다면서요.... ???"
120,"이, 이 위험하고 무거운 머리장식을 지금 바로 어떻게 끼라고?!"
121,"루블라일은 소리 없는 비명을 내지르며, 어떻게든 머리장식을 다시 끼우기 위해 이미 개판이 되어버린 자신의 머리 위에 억지로 끼워맞추기 시작했다. 이런 망할 황제! 약속 시간 한시간 전에 와서 뭘할려고! 나 엿맥일라고!? 제발, 오다가 자빠져라. 제발 천천히 걸어와라!"
122,"...그런 루블라일의 염원에도 불구하고, 황제 테이거스 제이티그 엑시아는 아주 빠른 속도로 응접실을 향해 오고 있었다."
123,^^^
124,0. 사람이.. 덕질 좀 할 수도 있지..
125,
126,""" .... """
127,""" ..... """
128,"황제, 테이거스는 한번도 본 적 없는 루블라일의 모습에 미간을 찌푸리며 제 앞에 있는 얼그레이로 목을 축였다. 조금 부스스하며, 아무런 장식없는 그의 하얀 머리카락. 언제나 자신의 앞이면 목이 부러지진 않을까 걱정스러울 정도로 수많은 보석들을 제 머리 위에 달고 나오곤 했는데. 어째 오늘은 아무런 장식이 없다. 심지어 묘하게 흐트러졌다. 저 여자가 미친 건 알았지만, 이렇게 세세한 부분까지 미쳤을 줄은.. 아님 이것도 그건가? 요즘 공작을 스토킹하면서 본인, 테이거스에게 그 흔한 '밀당' 짓을 하고 있었는데, 일부러 이런 수수한 모습까지 보이며 좀 더 심도깊은 밀당짓을 부릴 줄은. 하하. 깜찍하다 못해 끔찍하군."
129,"그렇다. 그는 지금 루블라일이 하는 스토ㅋ.. 아 아니 공작 덕질을 순전히 그, 테이거스의 관심을 끌기 위한 밀당 짓이라 굳게 믿고 있다. 우리의 공작 대덕후 루블라일이 들으면 자진모리 장단으로 황제를 두들겨 팰 수도 있는 엄청난 믿음이었지만. 뭐, 근데 어쩔 수가 없지 않나."
130,"그동안 루블라일이 테이거스에게 한 말, 행동들을 보면 루블라일은 정말 황제를 미친듯이 사랑하고 있다는걸 뼈저리게 느낄 수 있었으니. 그 깊은 마음이 금방 공작으로 갈아탈 리 없다는 건, 테이거스 스스로가 아주 잘알았다."
131,"당연한 얘기겠지만 물론 그건 전의 루블라일 얘기고. 공작 대덕후의 영혼이 들어가 새롭게 바뀐 루블라일은, 황제 같은건 1도 관심없었다! 진짜 1도! 0. 00001만큼도!"
132,""" .... """
133,"그래서 현재 루블라일은 죽을 맛이었다. 예법에 딱딱 맞게 대하고, 응접실에서 맛깔나는 차도 대접했는데 이놈의 황제놈은 말이 없다. 그냥 할짓 없어서 왔을리는 없고, 분명 무언가 용건이 있는데 말이 없다. 계속 차만 마시고 있다. 왜죠. 어째서죠. 말이 안나올정도로 차가 맛있어서 그러나, 싶었지만 황제가 뭐하러 황제겠나. 분명 황궁에서 지금 이 차보다 훨씬 맛좋고 질좋은 차가 한가득 있을텐데 싶어 처음의 생각은 단박에 날려버렸다. 그럼 왜 말이 없지? 루블라일은 깊은 고민에 빠졌다. 쓰읍, 나 예법 틀린거 없는데.. 아니지. 아니야. 이때쯤에 스토리에 뭔가 있었나... ? 이런 시부럴! 내가 그걸 어떻게 알아! 책도 우리 최강간지 공작님 나오는 부분만 달달 외우다싶이 보고 다른곳은 그냥 대충 훑어봤는데!"
134,"아냐, 한번 기억해보자. 얄팍한 기억력을 뒤져서 좀 어떻게 해보자.. 그래... 그러니까.. 이때쯤에는.. 분명.. 공작님이 물마시고.. 공작님 샤워씬도 나왔고... 황제와 여주의 알콩달콩함에 공작님이 밤에 술마시고... 어흑, 공작님 밤늦게까지 술마심 건강 안좋아지는데.. 여튼 그래서 다음날 일어나서 공작님이 이미 정인이 있는 사람을 계속 사랑하면 어떡하냐고 자책하고.. 아니 이런 못마땅한! 공작님 얘기 밖에 생각이 안나잖아.. ?! 아냐. 내 잘못이 아니야. 애초에 지금이 본편 다 끝나고 외전 때인데 외전에서 거의 공작님 시점으로 밖에 안나왔다고! 내 잘못이 아ㄴ.. !"
135,""" 요즘은 하네르를 건들지 않더군. """
136,""" 아닙니다! """
137,""" ... ? """
138,""" .... ??? """
139,?... ??? ... ?????
140,"깊게 생각에 빠져있다가 황제의 말에 반사적으로 대답했다. 하네르를 뭐? 안괴롭혀? 아니 이 물음표만 가득한 상황 어쩔거야! 맨날 무표정만 고수한다던 황제의 표정도 왠 미친년보듯 바뀌었잖아.. !잠시만, 잠시만. 돌아가라 머리머리! 애초에 하네르, 여주 얘기가 왜 나왔지? 나 뭐 했었나? 내가 한 건 공작님 덕질 밖에 없는데. 그럼 전의 루블라일이?"
141,... 아.
142,"펙티르 공작으로만 이루어졌었던 루블라일의 뇌가, 조금 정상적으로 돌아가기 시작했다."
143,"소설 [붉은 색으로] 루블라일 리브 에스티론 그녀는 엑스트라다. 악녀 짓 조금 하는. 이 조금이 메인 악녀에 비해서 조금이라는 거지 일반적인 상식으로 봤을 때 조금은 아니다. 뭐, 보통 로맨스 소설 보면 처음부터 끝까지 악독하게 따라붙어 흑막까지 자처하며 여주를 괴롭히는 스케일 엄청난 메인 악녀가 있다면, 그 외에 메인남주나 서브남주가 푹 빠진 여주를 질투해 자잘자잘하게 괴롭히는 사람들이 있지 않은가. 루블라일은 그 자잘자잘 쪽에 속했다. 근데.. 그 자잘자잘을 하필이면 이제 메인악녀가 어느정도 체념해 악녀짓을 확 줄인 시점에서 해가지고... 눈에 확 띄어서 황제와 공작한테 찍힌 케이스. 그 덕에 근신도 했었다. 근신이 끝난 뒤, 속알맹이가 바뀌어서 여주고 황제고 그냥 펙티르 공작 덕질만 하고 있지ㅁ.."
144,""" .. 그럼, 지금 그 대답은 짐이 모르게 그를 괴롭히고 있었단 건가? """
145,"루블라일이 머릿속으로 상황정리를 하던 도중, 으르렁거리는 듯한 목소리가 끼어들었다. 그리고 루블라일은 분노했다!"
146,""" 아니요!?!! """
147,무슨 그런 미친 소리를! 한달 내내 공작님 보기도 바쁘건만 여주 괴롭힐 시간이 어디 있어요!? 너무 어이가 없어 감히 황제한테 빽 소리를 지른 루블라일은 순간적으로 제 소리에 저가 놀라 황급히 입을 다물었다. 헉.. 황제한테 소리를 질렀다.. 조때따...
148,""" ... """
149,그리고 황제도 놀라따..
150,"정말 웬만해선 페이스 안깨지는 테이거스는, 계속해서 발생하는 미친 상황에 당장 눈앞에 있는 루블라일의 피부에 찻물을 양보해줘야할지 아니면 제 허리춤에 차고 있는 칼에게 어여쁜 제국의 꽃의 모가지를 4분의 4박자에 맞춰 썰어주는 영광을 줄 것인지 심각한 고민에 빠졌다. 물론 이런 테이거스의 생각이 표정에 다 드러난 것인지, 루블라일은 전생의 덕후력을 살려 생각나는 프란틸 제국의 예법이란 예법과, 변명거리를 전부 쥐어짜내어 황급히 말하기 시작했다."
151,""" 죄송합니다, 폐하. 오랜만에 소녀가 태양 같이 찬란히 빛나는 폐하의 존안을 뵙게 되어 그만 긴장이 극심해져 실수로 혀를 씹어 그만 큰 목소리가 나오고 말았습니다. 하늘과도 같은 넓은 마음으로 이 미천한 소녀의 실수를 용서해주심 안될까요.. ? """
152,근데.. 예법이 이게 맞는가 몰라.
